Date;Open;High;Low;Close*;Adj Close**;Volume
Jun 19;1.1210;1.1230;1.1130;1.1230;1.1230;9300
Jun 18;1.1080;1.1200;1.1080;1.1200;1.1200;8400
Jun 17;1.1080;1.1090;1.1060;1.1090;1.1090;3300
Jun 16;1.1100;1.1130;1.1100;1.1130;1.1130;12600
Jun 15;1.1070;1.1220;1.1000;1.1000;1.1000;26100
Jun 12;1.1120;1.1140;1.1010;1.1060;1.1060;21800
Jun 11;1.1200;1.1270;1.1150;1.1150;1.1150;44649
Jun 10;1.1300;1.1300;1.1210;1.1220;1.1220;8300
Jun 09;1.1270;1.1310;1.1220;1.1220;1.1220;118200
Jun 08;1.1200;1.1300;1.1180;1.1180;1.1180;274049
Jun 05;1.1100;1.1180;1.1100;1.1180;1.1180;8565
Jun 04;1.1190;1.1190;1.1150;1.1160;1.1160;2800
Jun 03;1.1150;1.1290;1.1130;1.1200;1.1200;30600
Jun 02;1.1050;1.1120;1.0990;1.1050;1.1050;28900
Jun 01;1.0980;1.1050;1.0900;1.1050;1.1050;73000
May 29;1.0860;1.0860;1.0750;1.0780;1.0780;11000
May 28;1.0920;1.0970;1.0780;1.0780;1.0780;18000
May 27;1.0950;1.0950;1.0780;1.0780;1.0780;6700
May 26;1.0770;1.0900;1.0770;1.0790;1.0790;9600
May 25;1.0880;1.1060;1.0740;1.0760;1.0760;110700
May 22;1.1000;1.1010;1.0880;1.0950;1.0950;171900
May 21;1.1020;1.1120;1.1020;1.1020;1.1020;6919
May 20;1.1020;1.1250;1.1010;1.1020;1.1020;4900
May 19;1.1290;1.1290;1.1070;1.1070;1.1070;3000
May 18;1.1170;1.1180;1.1000;1.1000;1.1000;1200
May 15;1.1000;1.1190;1.1000;1.1170;1.1170;7700
May 14;1.1170;1.1170;1.1000;1.1000;1.1000;11300
May 13;1.1470;1.1470;1.1040;1.1170;1.1170;20700
May 12;1.1200;1.1200;1.1130;1.1170;1.1170;19927
May 11;1.1250;1.1250;1.1150;1.1220;1.1220;48500
May 08;1.1100;1.1220;1.1100;1.1200;1.1200;59200
